	file_name	precision	recall	thresholds	average_precision
0	alanine__aspartate_a_train_2535.csv	[0.00129138 0.00129138 0.00129139 ... 0.81818182 0.85714286 1.        ]	[1.         1.         1.         ... 0.06896552 0.04597701 0.        ]	[0.00119595 0.00125028 0.00136789 ... 0.99999976 0.9999999  1.        ]	0.19117319932359975
1	alanine__aspartate_a_train_3273.csv	[0.00122713 0.00122714 0.00122715 ... 1.         1.         1.        ]	[1.         1.         1.         ... 0.03225806 0.02016129 0.        ]	[0.00209924 0.0021502  0.00218123 ... 0.9999988  0.9999994  1.        ]	0.07843074570218828
2	alanine__aspartate_a_train_3711.csv	[0.00130126 0.00130128 0.00130129 ... 1.         1.         1.        ]	[1.         1.         1.         ... 0.01520913 0.00760456 0.        ]	"[4.9727430e-05 1.3231131e-04 1.3245876e-04 ... 9.9999964e-01 9.9999988e-01
 1.0000000e+00]"	0.25196705637260464
3	alanine__aspartate_a_train_3781.csv	[0.0012469  0.00124691 0.00124691 ... 1.         1.         1.        ]	[1.         1.         1.         ... 0.01190476 0.00793651 0.        ]	"[1.8217794e-05 1.1892465e-03 2.6174060e-03 ... 9.9999738e-01 9.9999774e-01
 9.9999809e-01]"	0.1014823648418757
4	alanine__aspartate_a_train_6130.csv	[0.00124196 0.00124197 0.00124197 ... 1.         1.         1.        ]	[1.         1.         1.         ... 0.01195219 0.00796813 0.        ]	"[1.4209523e-05 1.8694638e-03 1.9160650e-03 ... 9.9999821e-01 9.9999940e-01
 9.9999964e-01]"	0.13067327091209352
5	alanine__aspartate_a_train_6672.csv	[0.00124196 0.00124198 0.00124198 ... 1.         1.         1.        ]	[1.         1.         1.         ... 0.01195219 0.00796813 0.        ]	"[2.6480793e-05 1.3245876e-04 2.0668145e-04 ... 9.9999797e-01 9.9999821e-01
 9.9999964e-01]"	0.0944178047384901
6	alanine__aspartate_a_train_6727.csv	[0.00125184 0.00125185 0.00125186 ... 1.         1.         1.        ]	[1.         1.         1.         ... 0.01976285 0.00395257 0.        ]	[0.00186946 0.00187202 0.00191606 ... 0.99999917 0.9999994  0.9999995 ]	0.14677928252788636
7	alanine__aspartate_a_train_8527.csv	[0.00125678 0.0012568  0.0012568  ... 1.         1.         1.        ]	[1.         1.         1.         ... 0.01968504 0.00787402 0.        ]	"[3.5126908e-05 6.1212646e-05 1.0011609e-03 ... 9.9999821e-01 9.9999833e-01
 9.9999952e-01]"	0.16115409004429324
8	alanine__aspartate_a_train_9941.csv	[0.00126173 0.00126173 0.00126174 ... 1.         1.         1.        ]	[1.         1.         1.         ... 0.01176471 0.00392157 0.        ]	[0.00216339 0.00221516 0.0022158  ... 0.999997   0.99999726 0.9999988 ]	0.17320326232336344
9	alpha_linolenic_acid_train_1854.csv	"[4.99755071e-04 4.99757543e-04 4.99760016e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"	[1.         1.         1.         ... 0.07920792 0.01980198 0.        ]	[0.00215193 0.002171   0.00225941 ... 0.99999905 0.99999917 0.9999993 ]	0.23779011463132635
10	alpha_linolenic_acid_train_2371.csv	"[4.99755071e-04 4.99757543e-04 4.99760016e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"	[1.         1.         1.         ... 0.08910891 0.02970297 0.        ]	[0.00243624 0.00273988 0.00300925 ... 0.99999917 0.9999993  0.9999995 ]	0.25550981990312244
11	alpha_linolenic_acid_train_4263.csv	"[4.94809449e-04 4.94811897e-04 4.94814346e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"	[1.   1.   1.   ... 0.13 0.1  0.  ]	[0.00186141 0.00190292 0.00191282 ... 0.9999944  0.9999945  1.        ]	0.30970130179261085
12	alpha_linolenic_acid_train_5635.csv	"[4.65134691e-04 4.65136993e-04 4.65139294e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"	[1.         1.         1.         ... 0.05319149 0.04255319 0.        ]	[0.00304669 0.00305593 0.0030789  ... 0.9983053  0.9984665  1.        ]	0.21572850657030843
13	alpha_linolenic_acid_train_5783.csv	"[5.09646167e-04 5.09648689e-04 5.09651211e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"	[1.         1.         1.         ... 0.21359223 0.03883495 0.        ]	"[8.6346030e-05 9.4431904e-05 1.0707067e-04 ... 9.9998653e-01 9.9999928e-01
 9.9999940e-01]"	0.27446385324313016
14	alpha_linolenic_acid_train_6633.csv	"[4.84918059e-04 4.84920458e-04 4.84922858e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"	[1.         1.         1.         ... 0.04081633 0.03061224 0.        ]	"[1.2937754e-04 1.3612614e-04 1.4304720e-04 ... 9.9999678e-01 9.9999940e-01
 1.0000000e+00]"	0.2861195417311792
15	alpha_linolenic_acid_train_7454.csv	"[4.84918059e-04 4.84920458e-04 4.84922858e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"	[1.         1.         1.         ... 0.09183673 0.07142857 0.        ]	[0.00217211 0.00223459 0.0022938  ... 0.9999963  0.9999999  1.        ]	0.24679351343673547
16	alpha_linolenic_acid_train_9373.csv	"[5.09646167e-04 5.09648689e-04 5.09651211e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"	[1.         1.         1.         ... 0.01941748 0.00970874 0.        ]	"[1.7306507e-04 1.9385018e-04 2.1668512e-04 ... 9.9999928e-01 9.9999940e-01
 9.9999976e-01]"	0.3048654205869984
17	alpha_linolenic_acid_train_9806.csv	"[4.94809449e-04 4.94811897e-04 4.94814346e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"	[1.   1.   1.   ... 0.13 0.1  0.  ]	[0.00191641 0.00217211 0.00220324 ... 0.99999475 0.999997   0.99999964]	0.3616870253565567
